iter	Passed	Remaining
0	7	2884
1	14	2959
2	21	2849
3	28	2849
4	35	2842
5	43	2843
6	49	2801
7	56	2781
8	65	2834
9	71	2795
10	79	2809
11	85	2779
12	92	2763
13	98	2728
14	105	2697
15	111	2686
16	118	2658
17	124	2648
18	131	2638
19	138	2622
20	145	2625
21	151	2605
22	158	2595
23	164	2579
24	170	2562
25	179	2576
26	184	2555
27	192	2554
28	198	2536
29	205	2532
30	211	2517
31	217	2499
32	224	2495
33	230	2481
34	237	2480
35	244	2467
36	250	2453
37	256	2445
38	262	2433
39	269	2423
40	275	2411
41	281	2399
42	287	2389
43	293	2376
44	299	2366
45	306	2359
46	312	2350
47	319	2345
48	326	2335
49	333	2331
50	339	2320
51	345	2310
52	353	2313
53	360	2312
54	379	2382
55	386	2373
56	392	2362
57	399	2354
58	405	2345
59	412	2335
60	418	2326
61	425	2322
62	434	2323
63	440	2315
64	448	2309
65	455	2305
66	461	2295
67	469	2292
68	475	2282
69	483	2279
70	489	2268
71	497	2267
72	504	2260
73	512	2256
74	519	2249
75	525	2238
76	533	2239
77	539	2228
78	548	2229
79	554	2218
80	564	2221
81	570	2211
82	577	2206
83	583	2196
84	590	2188
85	598	2185
86	604	2174
87	611	2167
88	616	2155
89	623	2148
90	630	2140
91	636	2130
92	643	2122
93	648	2111
94	654	2102
95	661	2093
96	667	2084
97	674	2078
98	680	2069
99	686	2059
100	692	2050
101	698	2041
102	705	2034
103	711	2025
104	717	2015
105	724	2010
106	730	2000
107	736	1992
108	741	1980
109	747	1969
110	752	1960
111	757	1949
112	763	1938
113	769	1930
114	774	1920
115	779	1909
116	785	1901
117	791	1890
118	796	1879
119	801	1871
120	807	1861
121	814	1856
122	823	1854
123	830	1849
124	839	1846
125	846	1841
126	854	1836
127	861	1831
128	869	1826
129	877	1821
130	885	1817
131	892	1812
132	900	1807
133	908	1803
134	915	1797
135	920	1787
136	925	1777
137	933	1772
138	939	1764
139	944	1754
140	949	1744
141	954	1735
142	960	1725
143	965	1716
144	970	1706
145	975	1697
146	980	1687
147	985	1678
148	991	1669
149	996	1660
150	1001	1651
151	1007	1643
152	1011	1633
153	1017	1624
154	1022	1616
155	1027	1607
156	1033	1599
157	1038	1590
158	1043	1581
159	1048	1573
160	1053	1564
161	1058	1555
162	1063	1546
163	1068	1538
